port_id,port_name
1,1412
2,2791
3,2835
4,3510
5,3512
6,3513
7,3971
8,5296
9,5314
10,"Aberdeen, Washington"
11,"Addison Airport, Addison, Texas"
12,"Airborne Express @ Seatac, Seatac, Washington"
13,"Albany, New York"
14,"Albuquerque, New Mexico"
15,"Alpena, Michigan"
16,"Anacortes, Washington"
17,"Anchorage, Alaska"
18,"Annapolis, Maryland"
19,"Ashtabula/Conneaut, Ohio"
20,"Astoria, Oregon"
21,"Atlanta, Georgia"
22,"Austin, Texas"
23,"Avion Brokers @ Seatac, Seatac, Washington"
24,"Baltimore, Maryland"
25,"Baltimore-Washington International Airport, Maryland"
26,"Bangor, Maine"
27,"Bar Harbor, Maine"
28,"Baton Rouge, Louisiana"
29,"Beaufort Morehead City, North Carolina"
30,"Beaumont, Texas"
31,"Belfast, Maine"
32,"Bellingham, Washington"
33,"Birmingham, Alabama"
34,"Blaine, Washington"
35,"Boston, Massachusetts"
36,"Bridgeport, Connecticut"
37,"Brownsville, Texas"
38,"Brunswick, Georgia"
39,"Buffalo Niagara Falls, New York"
40,"Burlington, Vermont"
41,"Calexico, California"
42,"Camden, New Jersey"
43,"Cape Vincent, New York"
44,"Carquinez Strait, California"
45,"Charleston, South Carolina"
46,"Charleston, West Virginia"
47,"Charlotte Amalie, Virgin Islands"
48,"Charlotte, North Carolina"
49,"Chattanooga, Tennessee"
50,"Chester, Pennsylvania"
51,"Chicago, Illinois"
52,"Christiansted, Virgin Islands"
53,"Cincinnati, Ohio"
54,"Clayton, New York"
55,"Cleveland, Ohio"
56,"Columbia, South Carolina"
57,"Columbus, Ohio"
58,"Coos Bay, Oregon"
59,"Corpus Christi, Texas"
60,"Crockett, California"
61,"Cruz Bay, Virgin Islands"
62,"DHL Courier, Cincinnati, Ohio"
63,"Dallas/Ft. Worth Airport, Texas"
64,"Dalton Cache, Alaska"
65,"Danville, Washington"
66,"Dayton, Ohio"
67,"Denver, Coloroda"
68,"Detour City, Michigan"
69,"Detroit Metropolitan Airport, Michigan"
70,"Detroit, Michigan"
71,"Duluth, Minnesota"
72,"Eastport, Maine"
73,"El Paso, Texas"
74,"El Segundo, California"
75,"Erie, Pennsylvania"
76,"Escanaba, Michigan"
77,"Everett, Washington"
78,"Fairbanks, Alaska"
79,"Fajardo, Puerto Rico"
80,"Fall River, Massachusetts"
81,"Federal Express Courier Facility, Oakland, California"
82,"Federal Express Hub, Indianapolis, Indiana"
83,"Federal Express, Newark, New Jersey"
84,"Fernandina Beach, Florida"
85,"Fort Lauderdale International Airport, Fort Lauderdale, Florida"
86,"Fort Myers, Florida"
87,"Fort Pierce, Florida"
88,"Fort Wayne Airport, Fort Wayne, Indiana"
89,"Fort Worth Alliance Airport, Fort Worth, Texas"
90,"Frederiksted, Virgin Islands"
