arrival_year,arrival_month,shipment_count
2018,1,1585644
2018,2,1496691
2018,3,1402633
2018,4,1524475
2018,5,1863580
2018,6,1866456
2018,7,1810532
2018,8,1738067
2018,9,1689174
2018,10,1847301
2018,11,1607732
2018,12,1713073
2019,1,1697327
2019,2,1458179
2019,3,1393295
2019,4,1553021
2019,5,1699039
2019,6,1596141
2019,7,1753697
2019,8,1706854
2019,9,1580912
2019,10,1617739
2019,11,1485806
2019,12,1478856
2020,1,1556494
2020,2,1334337
2020,3,1310449
2020,4,1718186
2020,5,1525739
2020,6,1626983
2020,7,1852420
2020,8,2119138
2020,9,1772764
